FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
MULTICLOUD_MGMT_20GKU_LEAD_COMP_SUM_C_FLG,33.6,33.7,30.2,37.9,1,Confirmed,FLG,FLG,0%,-1%,-3%,5%,0%,-1%,-2%,5%,DROP
SYSTEMS_10C00_COMP_YIELD_C,33.0,33.7,28.3,34.4,1,Tentative,PIPE COMP,4,-8%,-7%,12%,5%,6%,-2%,-9%,12%,KEEP
POWERAI_20C0R_LEAD_COMP_SUM_C_FLG,33.2,33.4,31.1,35.5,1,Confirmed,FLG,FLG,-2%,-3%,7%,2%,-1%,0%,-5%,7%,KEEP
TALENT_MGMT_15TMS_LEAD_COMP_SUM_C,33.2,33.2,30.7,35.4,1,Tentative,PIPE COMP,4,-2%,10%,-3%,1%,1%,0%,-3%,10%,KEEP
INTR_SYS_COMP_FLG,32.7,32.8,29.7,35.8,1,Confirmed,FLG,FLG,1%,-3%,-1%,2%,3%,1%,-3%,3%,DROP
TSS_MULTI_VEND_20G19_LEAD_COMP_SUM_C,32.5,32.7,30.0,34.4,1,Tentative,PIPE COMP,4,-5%,-5%,-2%,15%,1%,-2%,-6%,15%,KEEP
INTR_CGAP_COMP_CNT,32.8,32.7,31.1,34.3,1,Tentative,INTR,0,2%,0%,-2%,0%,1%,0%,-1%,2%,DROP
Z_DEV_OPS_20C01_LEAD_COMP_SUM_C_FLG,32.2,32.6,30.1,34.3,1,Confirmed,FLG,FLG,0%,-3%,1%,3%,1%,-1%,-3%,3%,DROP
INTR_CDPCOMP_FLG,32.5,32.5,29.8,34.7,1,Confirmed,FLG,FLG,4%,-1%,-5%,0%,4%,2%,-1%,5%,KEEP
OI_BRAND_SALES_COMP_YIELD_C,32.7,32.4,31.2,35.1,1,Tentative,PIPE COMP,3,-6%,-6%,-3%,16%,6%,2%,-9%,16%,KEEP
IBM_GBL_IMT_DSCR_NORTH_AMERICA,32.2,32.3,30.8,33.6,1,Tentative,GEO,CAT,2%,12%,-10%,-16%,2%,9%,17%,17%,KEEP
STOR_HYB_CLD_20COP_LEAD_COMP_SUM_C,31.9,32.2,30.1,33.5,1,Tentative,PIPE COMP,3,-7%,-6%,15%,3%,0%,-2%,-7%,15%,DROP
OI_TECH_SALES_WON_DTL_REVN_COMP_SUM_C,32.8,32.1,30.9,35.4,1,Tentative,PIPE COMP,3,-1%,-2%,1%,4%,1%,-1%,-3%,4%,KEEP
ENTR_APP_SAP_20JII_LEAD_COMP_SUM_C_FLG,31.9,31.8,28.9,34.9,1,Confirmed,FLG,FLG,-4%,-2%,-6%,13%,1%,-1%,-4%,13%,KEEP
THREAT_MGMT_SVC_20B1I_LEAD_COMP_SUM_C_FLG,31.4,31.7,27.8,33.8,1,Confirmed,FLG,FLG,-2%,-3%,-3%,4%,0%,-1%,4%,4%,DROP
GBS_10J00_LEAD_INDIV_SUM_I_FLG,31.5,31.6,29.9,33.1,1,Confirmed,FLG,FLG,-4%,-2%,-6%,15%,-1%,-1%,-4%,15%,KEEP
ALL_OTHER_UT20_15ITT_LEAD_COMP_SUM_C_FLG,31.7,31.6,29.6,34.3,1,Confirmed,FLG,FLG,0%,2%,-3%,3%,1%,0%,-2%,3%,DROP
LDR_WON_DTL_REVN_COMP_SUM_C,31.1,31.5,28.9,33.3,1,Tentative,PIPE COMP,3,-2%,-2%,-1%,6%,2%,-1%,-4%,6%,KEEP
BJ_BUY_INDIV_CNT_1YR_FLG,31.9,31.4,30.4,33.6,1,Confirmed,FLG,FLG,-4%,-5%,4%,3%,3%,-1%,-1%,5%,DROP
CLOUD_SEC_COMPLIANCE_20G3U_LEAD_COMP_SUM_C_FLG,30.9,31.2,29.6,32.1,1,Confirmed,FLG,FLG,-1%,-2%,-3%,5%,1%,-1%,-1%,5%,DROP
IAM_20B1L_LEAD_COMP_SUM_C_FLG,31.0,31.1,28.8,32.5,1,Confirmed,FLG,FLG,-1%,-2%,-3%,4%,0%,-1%,2%,4%,DROP
OO_BP_COMP_YIELD_C,30.9,31.1,27.3,33.5,1,Tentative,PIPE COMP,3,-4%,-1%,6%,2%,6%,-1%,-7%,7%,DROP
OO_BP_WON_DTL_REVN_COMP_SUM_C,31.1,31.0,29.1,33.4,1,Tentative,PIPE COMP,3,-1%,-3%,2%,3%,3%,-1%,-4%,4%,KEEP
HYB_CLD_SEC_20J2O_LEAD_COMP_SUM_C_FLG,30.8,31.0,28.9,32.9,1,Confirmed,FLG,FLG,-2%,-3%,-5%,12%,0%,-2%,-3%,12%,KEEP
PAGE_VIEW_CNT,30.7,30.9,27.6,33.6,1,Tentative,OTHER,1,1%,-1%,3%,-2%,2%,-2%,-2%,3%,KEEP
CHANNEL_TYPE_VR_LP_HYB,31.0,30.8,29.3,32.7,1,Tentative,CHANNEL NAME / TYPE,CAT,9%,-1%,0%,-4%,-5%,-1%,-2%,9%,KEEP
SYSTEMS_10C00_WON_DTL_REVN_COMP_SUM_C,30.5,30.8,27.6,33.8,1,Tentative,PIPE COMP,4,-2%,-3%,3%,4%,1%,-1%,-4%,4%,KEEP
TRAD_DIST_STOR_20C0M_LEAD_COMP_SUM_C_FLG,31.1,30.8,29.6,32.9,1,Confirmed,FLG,FLG,-4%,-4%,7%,3%,1%,-2%,-4%,7%,KEEP
INTR_20B2P_COMP_CNT,31.0,30.7,27.5,34.0,1,Tentative,INTR,1,2%,0%,-1%,0%,1%,0%,-2%,2%,DROP
GBS_10J00_WON_DTL_REVN_COMP_SUM_C,30.3,30.7,25.7,34.0,1,Tentative,PIPE COMP,2,-4%,-3%,-7%,16%,2%,-1%,-5%,16%,KEEP
WAT_MRKT_15WCG_COMP_YIELD_C,30.9,30.7,29.5,33.4,1,Tentative,PIPE COMP,4,0%,0%,-2%,3%,2%,-1%,-3%,3%,DROP
OI_TECH_SUPP_WON_DTL_REVN_COMP_SUM_C,30.7,30.7,29.3,32.6,1,Tentative,PIPE COMP,3,1%,-1%,-2%,5%,0%,-1%,-4%,5%,KEEP
UT10_CODE_10C00,31.0,30.7,29.4,33.0,1,Tentative,LAST TOUCH,1,-3%,-3%,9%,0%,2%,-1%,-4%,9%,KEEP
DATA_TECH_TRNS_20J05_LEAD_COMP_SUM_C,30.6,30.6,29.2,31.6,1,Tentative,PIPE COMP,2,-4%,-1%,-6%,14%,0%,-1%,-5%,14%,KEEP
CHANNEL_NAME_DIGITAL_INBOUND,30.2,30.6,27.1,31.7,1,Tentative,CHANNEL NAME / TYPE,CAT,-1%,2%,1%,-4%,3%,1%,1%,4%,DROP
ENTR_APP_MGMT_CLD_20JEK_LEAD_COMP_SUM_C_FLG,30.8,30.6,29.1,33.8,1,Confirmed,FLG,FLG,-3%,-2%,-5%,12%,1%,-1%,-3%,12%,DROP
ALL_OTHER_UT15_WON_DTL_REVN_COMP_SUM_C,30.4,30.6,28.4,32.0,1,Tentative,PIPE COMP,1,0%,-1%,-2%,4%,1%,-1%,-2%,4%,KEEP
UT10_CODE_10N00,30.2,30.4,29.0,31.5,1,Tentative,LAST TOUCH,1,-3%,-2%,-2%,-3%,0%,-1%,11%,11%,KEEP
BUS_AREA_NAME_BIN_D,30.2,30.2,28.5,31.5,1,Tentative,BUS_AREA_NAME,CAT,9%,-3%,-2%,-3%,3%,1%,-6%,9%,KEEP
OI_CLIENT_REP_WON_DTL_REVN_COMP_SUM_C,30.0,30.2,25.1,32.5,1,Tentative,PIPE COMP,3,-3%,-3%,-2%,9%,2%,-1%,-4%,9%,KEEP
GTS_10G00_WON_DTL_REVN_COMP_SUM_C,29.9,29.9,28.0,32.6,1,Tentative,PIPE COMP,2,-2%,-3%,-1%,8%,2%,-2%,-4%,8%,KEEP
WAT_LIFE_SCIENCE_20B1R_LEAD_COMP_SUM_C_FLG,29.6,29.8,27.3,32.4,1,Confirmed,FLG,FLG,-2%,-1%,-3%,1%,0%,24%,-2%,24%,KEEP
ALL_OTHER_UT20_15WCG_LEAD_COMP_SUM_C_FLG,29.5,29.8,27.0,31.3,1,Confirmed,FLG,FLG,0%,0%,-1%,3%,1%,0%,-2%,3%,DROP
XFORCE_20B1K_LEAD_COMP_SUM_C_FLG,29.7,29.5,27.8,33.2,1,Confirmed,FLG,FLG,-1%,-2%,-3%,2%,1%,0%,3%,3%,DROP
LDR_COMP_YIELD_C,29.3,29.5,27.3,30.6,1,Tentative,PIPE COMP,3,-4%,4%,-6%,6%,1%,-3%,3%,6%,DROP
SECURITY_10N00_LEAD_INDIV_SUM_I_FLG,29.4,29.3,27.5,31.0,1,Confirmed,FLG,FLG,-6%,-3%,-5%,-5%,-2%,-2%,24%,24%,KEEP
COGAPP_10B00_LEAD_INDIV_SUM_I_FLG,29.4,29.3,28.3,30.7,1,Confirmed,FLG,FLG,-3%,22%,-4%,-2%,-2%,-1%,-4%,22%,KEEP
INTR_SEC_COMP_FLG,29.2,29.3,27.0,31.4,1,Confirmed,FLG,FLG,1%,-2%,-4%,1%,4%,2%,2%,4%,KEEP
CHN_NM_DI_EOPEN_INDIV_CNT_1YR,29.0,29.2,26.8,31.4,1,Tentative,CHANNEL,0,-1%,-3%,1%,3%,4%,-2%,-2%,4%,KEEP
SUPPLY_CHAIN_20B2O_LEAD_COMP_SUM_C_FLG,29.2,29.1,27.1,31.7,1,Confirmed,FLG,FLG,-1%,6%,-4%,3%,1%,0%,-3%,6%,DROP
CHN_NM_EV_COMP_CNT_60DAYS,29.1,28.8,25.8,33.3,1,Tentative,CHANNEL,0,2%,-3%,-1%,3%,0%,-1%,-3%,3%,DROP
Z_LINUX_M_20C08_LEAD_COMP_SUM_C_FLG,28.8,28.7,26.5,30.8,1,Confirmed,FLG,FLG,-2%,-3%,4%,2%,2%,-1%,-4%,4%,DROP
INTR_20A0W_COMP_CNT,29.0,28.7,28.1,30.9,1,Tentative,INTR,0,2%,0%,-2%,1%,1%,0%,-1%,2%,DROP
TALENT_MGMT_15TMS_WON_DTL_REVN_COMP_SUM_C,28.6,28.4,26.2,30.7,1,Tentative,PIPE COMP,4,0%,3%,-2%,2%,1%,0%,-3%,3%,KEEP
BUS_TRANS_15CPT_WON_DTL_REVN_COMP_SUM_C,28.3,28.4,26.4,30.0,1,Tentative,PIPE COMP,1,-4%,-2%,-6%,14%,1%,-1%,-4%,14%,KEEP
INTR_SEC_COMP_CNT,28.2,28.3,26.4,29.7,1,Tentative,INTR,0,1%,-2%,-2%,1%,2%,0%,1%,2%,DROP
MAINFRM_SW_15MFT_LEAD_COMP_SUM_C,28.5,28.3,26.3,30.4,1,Tentative,PIPE COMP,3,0%,-3%,3%,3%,0%,-1%,-4%,4%,DROP
ALL_LEAD_INDIV_SUM_I,28.4,28.3,26.3,30.4,1,Tentative,PIPE INDIV,4,0%,-2%,-1%,4%,-2%,-2%,-1%,4%,KEEP
SECURITY_10N00_LEAD_COMP_SUM_C,28.2,28.2,27.3,29.0,1,Tentative,PIPE COMP,3,-4%,-5%,-6%,1%,-1%,-1%,16%,16%,KEEP
AVG_RESP_DAYS,28.3,28.2,26.6,32.0,1,Tentative,OTHER,1,-3%,-3%,3%,2%,2%,-1%,-1%,3%,DROP
ALL_OTHER_UT20_15MHW_LEAD_COMP_SUM_C_FLG,28.4,28.2,26.8,31.5,1,Confirmed,FLG,FLG,0%,-1%,1%,2%,0%,-1%,-2%,2%,DROP
BJ_UT15_TRY_153QH_COMP_CNT_60DAYS,27.8,28.1,25.0,29.5,1,Tentative,BJ,0,1%,-3%,0%,2%,2%,0%,-2%,3%,DROP
DATA_SEC_20B15_LEAD_COMP_SUM_C,27.6,27.7,25.9,29.2,1,Tentative,PIPE COMP,2,0%,-3%,-1%,1%,0%,-1%,3%,3%,DROP
INTR_10CDP_INDIV_FLG,27.9,27.6,25.2,33.5,1,Confirmed,FLG,FLG,2%,0%,-2%,-3%,1%,0%,2%,3%,DROP
PAG_UT10_OTH_CNDP_COMP_CNT_1YR,27.4,27.5,23.4,30.6,1,Tentative,WEB,4,1%,-1%,-1%,1%,0%,1%,-2%,2%,DROP
OI_TECH_SALES_COMP_YIELD_C,27.3,27.5,25.1,29.4,1,Tentative,PIPE COMP,3,-1%,-3%,0%,5%,2%,-2%,-4%,5%,DROP
APP_MGMT_ON_PRM_20JDQ_LEAD_COMP_SUM_C,27.4,27.5,25.8,29.7,1,Tentative,PIPE COMP,1,-4%,-3%,-6%,15%,1%,-2%,-4%,15%,KEEP
Z_OPS_PERF_20C06_LEAD_COMP_SUM_C_FLG,27.3,27.5,25.2,29.4,1,Confirmed,FLG,FLG,0%,-2%,2%,2%,0%,-1%,-3%,3%,DROP
PROGRAM_NAME_BIN_LO,27.3,27.4,22.9,30.6,1,Tentative,OTHER,CAT,-3%,-6%,6%,1%,3%,-1%,-2%,6%,DROP
OI_CLIENT_REP_COMP_YIELD_C,27.8,27.3,26.5,30.3,1,Tentative,PIPE COMP,3,-3%,-5%,-3%,12%,5%,-2%,-7%,12%,KEEP
SSRC_20B1G_LEAD_COMP_SUM_C_FLG,27.2,27.3,24.4,29.2,1,Confirmed,FLG,FLG,-2%,-2%,-4%,6%,0%,-1%,2%,6%,DROP
XFORCE_RED_OFF_20B1E_LEAD_COMP_SUM_C_FLG,27.4,27.1,24.8,30.3,1,Confirmed,FLG,FLG,-1%,-1%,-3%,4%,0%,0%,2%,4%,DROP
ZTPS_OPS_20C0T_LEAD_COMP_SUM_C,26.7,27.0,24.5,28.4,1,Tentative,PIPE COMP,4,-1%,-3%,3%,2%,-1%,-1%,-2%,3%,DROP
INF_AAS_20GAA_LEAD_COMP_SUM_C,26.9,26.8,24.9,28.6,1,Tentative,PIPE COMP,2,-1%,-3%,-6%,10%,2%,-1%,-3%,10%,DROP
STORAGE_15STT_COMP_YIELD_C,27.2,26.8,25.3,30.1,1,Tentative,PIPE COMP,4,-7%,-7%,13%,5%,5%,-2%,-8%,13%,KEEP
INTR_SYS_COMP_CNT,27.0,26.7,25.6,29.3,1,Tentative,INTR,0,0%,-3%,1%,2%,3%,-1%,-3%,3%,DROP
IBM_GBL_IOT_DSCR_AMERICAS,27.0,26.6,24.8,29.6,1,Tentative,GEO,CAT,3%,9%,-8%,-15%,1%,7%,14%,15%,DROP
JOB_FUNCTION_BIN_D,26.3,26.5,24.1,27.9,1,Tentative,JOB_FUNCTION,CAT,5%,-2%,0%,-2%,-1%,0%,-3%,5%,KEEP
INDUSTRY_BIN_D,26.5,26.5,25.5,27.6,1,Tentative,INDUSTRY,CAT,7%,-1%,1%,-7%,-1%,0%,0%,7%,KEEP
CLD_INTR_DEV_20A0W_LEAD_INDIV_SUM_I_FLG,26.1,26.2,23.8,27.9,1,Confirmed,FLG,FLG,8%,-2%,-2%,-2%,-1%,-1%,-3%,8%,KEEP
JOB_CTGY_CD_NULL,25.9,26.2,23.5,27.6,1,Tentative,OTHER,CAT,4%,0%,-1%,-3%,-1%,0%,0%,4%,DROP
ID_MGMT_20B14_LEAD_COMP_SUM_C,26.2,26.2,24.2,28.2,1,Tentative,PIPE COMP,2,0%,-3%,-2%,2%,0%,-1%,2%,3%,DROP
TLNT_ACQ_20B0T_LEAD_COMP_SUM_C_FLG,26.1,26.1,22.2,28.4,1,Confirmed,FLG,FLG,-1%,7%,-2%,0%,2%,0%,-3%,7%,DROP
CIS_20B1F_LEAD_COMP_SUM_C_FLG,26.4,26.1,24.3,28.7,1,Confirmed,FLG,FLG,-2%,-3%,-5%,6%,2%,-1%,2%,6%,DROP
STOR_HYB_CLD_20COP_WON_LEAD_COMP_SUM_C,25.3,26.1,20.9,28.2,1,Tentative,PIPE COMP,4,-6%,-5%,10%,3%,2%,-2%,-6%,10%,KEEP
DATA_SCI_20A0K_LEAD_INDIV_SUM_I_FLG,25.8,26.0,23.8,27.1,1,Confirmed,FLG,FLG,12%,-2%,-4%,-4%,-1%,-1%,-4%,12%,KEEP
OI_BP_COMP_YIELD_C,25.9,26.0,24.5,27.8,1,Tentative,PIPE COMP,3,-3%,-4%,3%,5%,6%,-1%,-7%,7%,KEEP
OI_DIGITAL_COVERAGE_SALES_WON_DTL_REVN_COMP_SUM_C,25.5,25.9,21.7,27.6,1,Tentative,PIPE COMP,3,-1%,-1%,-1%,4%,2%,-1%,-3%,4%,DROP
OI_BP_WON_DTL_REVN_COMP_SUM_C,25.8,25.9,22.2,28.5,1,Tentative,PIPE COMP,3,-1%,-2%,0%,5%,2%,0%,-4%,5%,DROP
GBS_10J00_WON_LEAD_COMP_SUM_C,25.7,25.9,22.3,27.9,1,Tentative,PIPE COMP,2,-5%,-3%,-8%,19%,2%,-2%,-6%,19%,KEEP
SYSTEMS_10C00_LEAD_INDIV_SUM_I_FLG,25.8,25.8,23.9,27.2,1,Confirmed,FLG,FLG,-6%,-4%,17%,-3%,-2%,-2%,-5%,17%,KEEP
OI_TECH_SUPP_COMP_YIELD_C,25.1,25.6,22.2,27.5,1,Tentative,PIPE COMP,3,2%,-2%,-4%,6%,3%,-2%,-5%,6%,DROP
COGNOS_20A0O_LEAD_COMP_SUM_C,25.5,25.6,24.1,26.8,1,Tentative,PIPE COMP,2,10%,-2%,-6%,1%,1%,0%,-6%,10%,KEEP
INTR_15ITT_COMP_CNT,25.8,25.5,23.4,28.4,1,Tentative,INTR,0,2%,1%,-2%,0%,1%,0%,-2%,2%,DROP
DGTL_BUS_AUTO_20A0Y_LEAD_INDIV_SUM_I_FLG,25.5,25.4,24.2,26.9,1,Confirmed,FLG,FLG,7%,-2%,-3%,-1%,-1%,-1%,-3%,7%,DROP
FIN_PFG_20B19_LEAD_COMP_SUM_C_FLG,25.3,25.4,23.8,26.8,1,Confirmed,FLG,FLG,0%,-2%,-3%,6%,-1%,-1%,-2%,6%,DROP
INTR_20APO_COMP_CNT,25.0,25.4,20.9,27.7,1,Tentative,INTR,1,2%,1%,-2%,-1%,1%,2%,-1%,2%,DROP
INTR_15ANP_COMP_CNT,25.3,25.3,24.4,26.5,1,Tentative,INTR,0,2%,0%,-2%,0%,2%,1%,-2%,2%,DROP
DGTL_BUS_AUTO_20A0Y_LEAD_COMP_SUM_C,25.4,25.3,24.2,26.9,1,Tentative,PIPE COMP,2,7%,-4%,-5%,2%,0%,-1%,-5%,7%,DROP
INTR_20A0O_COMP_CNT,25.4,25.2,24.0,27.6,1,Tentative,INTR,0,4%,0%,-2%,-1%,1%,0%,-1%,4%,DROP
PUB_CLD_CONS_20A46_LEAD_COMP_SUM_C,25.2,25.0,23.9,26.8,1,Tentative,PIPE COMP,3,6%,-3%,-5%,4%,1%,-1%,-5%,6%,KEEP
INTR_20B17_COMP_CNT,24.3,25.0,19.1,27.5,1,Tentative,INTR,1,2%,0%,-1%,0%,1%,0%,-2%,2%,DROP
DATA_SCI_20A0K_LEAD_COMP_SUM_C,25.2,24.9,24.0,27.2,1,Tentative,PIPE COMP,2,9%,-2%,-5%,1%,0%,1%,-6%,9%,KEEP
OO_TC_WON_DTL_REVN_COMP_SUM_C,24.9,24.9,23.5,25.6,1,Tentative,PIPE COMP,3,2%,-1%,0%,-2%,0%,0%,1%,2%,KEEP
COG_INFRST_PRV_CLD_20CCM_LEAD_COMP_SUM_C_FLG,25.0,24.7,22.6,27.9,1,Confirmed,FLG,FLG,-2%,-3%,6%,1%,0%,-1%,-3%,6%,DROP
OI_SVCS_DELIVERY_WON_DTL_REVN_COMP_SUM_C,25.3,24.7,24.0,28.4,1,Tentative,PIPE COMP,3,-3%,-2%,-5%,12%,1%,-1%,-4%,12%,DROP
TSS_MULTI_VEND_20G19_COMP_YIELD_C,24.1,24.7,16.5,27.6,1,Tentative,PIPE COMP,4,-6%,-6%,0%,16%,2%,-3%,-7%,16%,DROP
INFR_SVC_15ISS_WON_DTL_REVN_COMP_SUM_C,24.6,24.6,22.9,26.6,1,Tentative,PIPE COMP,3,-1%,-2%,-5%,7%,2%,-1%,-1%,7%,DROP
ZTPS_OPS_20C0T_WON_DTL_REVN_COMP_SUM_C_FLG,24.6,24.5,21.9,27.0,1,Confirmed,FLG,FLG,0%,-2%,0%,3%,1%,-1%,-2%,3%,DROP
CLOUDPLATFORMSVCS_10A00_COMP_YIELD_C,24.3,24.5,23.1,25.3,1,Tentative,PIPE COMP,2,15%,-6%,-8%,2%,5%,-2%,-10%,15%,KEEP
CHN_T_VL_COMP_CNT_1YR,24.2,24.4,22.8,25.3,1,Tentative,CHANNEL,0,2%,-2%,0%,2%,0%,0%,-3%,3%,DROP
PAG_OTH_COMP_CNT_60DAYS,24.5,24.4,21.3,28.0,1,Tentative,WEB,4,0%,-2%,0%,2%,1%,0%,-2%,2%,DROP
FIN_GRP_10H00_LEAD_COMP_SUM_C,24.2,24.3,21.8,27.2,1,Tentative,PIPE COMP,2,-3%,-3%,-3%,8%,8%,-1%,-5%,8%,DROP
STORAGE_15STT_WON_DTL_REVN_COMP_SUM_C,24.6,24.2,21.9,26.8,1,Tentative,PIPE COMP,4,-3%,-3%,5%,3%,2%,-1%,-4%,5%,DROP
GTS_10G00_COMP_YIELD_C,24.3,24.2,22.5,25.3,1,Tentative,PIPE COMP,2,-9%,-9%,2%,20%,3%,-3%,-11%,20%,KEEP
GTS_10G00_LEAD_INDIV_SUM_I_FLG,24.2,24.1,22.4,26.0,1,Confirmed,FLG,FLG,-3%,-3%,1%,7%,-1%,-2%,-3%,7%,KEEP
Z_OS_20C09_WON_DTL_REVN_COMP_SUM_C_FLG,23.8,23.9,21.7,25.4,1,Confirmed,FLG,FLG,0%,-2%,2%,1%,0%,0%,-3%,3%,DROP
CHN_NM_DI_ECLCK_COMP_CNT_1YR,23.6,23.9,20.7,26.0,1,Tentative,CHANNEL,0,1%,-3%,0%,3%,2%,0%,-3%,3%,DROP
COLLAB_15CLS_LEAD_COMP_SUM_C_FLG,24.0,23.9,21.6,26.4,1,Confirmed,FLG,FLG,-1%,1%,-1%,2%,0%,-1%,-1%,2%,DROP
DATA_AI_PLTF_20A11_LEAD_COMP_SUM_C,23.6,23.8,21.8,24.5,1,Tentative,PIPE COMP,2,5%,-3%,-4%,4%,-1%,-1%,-5%,5%,DROP
INTR_20AU4_COMP_CNT,24.0,23.7,20.5,30.6,1,Tentative,INTR,1,3%,-1%,-2%,1%,1%,0%,-1%,3%,DROP
PROGRAM_NAME_CONTACT_MODULE,23.9,23.7,22.3,25.9,1,Tentative,OTHER,CAT,11%,6%,-5%,-9%,-4%,0%,0%,11%,KEEP
OI_SVCS_DELIVERY_LEAD_COMP_SUM_C,23.6,23.7,22.5,25.5,1,Tentative,PIPE COMP,3,-4%,-3%,-6%,15%,1%,-1%,-5%,15%,DROP
CLIENT_CARE_20AJ5_LEAD_COMP_SUM_C,23.6,23.6,22.4,24.6,1,Tentative,PIPE COMP,2,5%,-2%,-5%,4%,0%,0%,-5%,5%,DROP
PAG_UT15_DNMM_15ANP_COMP_CNT_1YR,24.1,23.6,22.3,28.6,1,Tentative,WEB,4,1%,-2%,0%,1%,1%,1%,-2%,2%,DROP
TSS_MULTI_VEND_20G19_WON_DTL_REVN_COMP_SUM_C,23.3,23.6,18.5,27.4,1,Tentative,PIPE COMP,4,-2%,-3%,-1%,8%,2%,-1%,-4%,8%,DROP
KYWRD_AI,23.2,23.6,21.1,24.5,1,Tentative,OTHER,1,5%,-1%,1%,-3%,1%,-2%,-3%,5%,KEEP
STOR_ZSYS_20C9O_LEAD_COMP_SUM_C,23.8,23.4,22.2,27.9,1,Tentative,PIPE COMP,4,-2%,-4%,6%,3%,1%,-2%,-4%,6%,DROP
TALENT_MGMT_15TMS_COMP_YIELD_C,23.4,23.4,22.0,25.1,1,Tentative,PIPE COMP,4,-2%,9%,-2%,1%,2%,0%,-4%,9%,DROP
ADV_FRAUD_PRTCT_20B13_LEAD_COMP_SUM_C_FLG,23.6,23.4,20.9,25.8,1,Confirmed,FLG,FLG,0%,-3%,-2%,2%,0%,-1%,2%,3%,DROP
SEC_THREAT_MGMT_20NYE_LEAD_COMP_SUM_C,23.4,23.4,20.9,25.2,1,Tentative,PIPE COMP,3,-2%,-3%,-4%,1%,-1%,-1%,10%,10%,KEEP
NEW_CLIENT_FLG,23.0,23.3,21.4,25.1,1,Confirmed,FLG,FLG,-1%,0%,3%,-4%,1%,1%,1%,4%,KEEP
WAT_PROVIDER_20B1T_LEAD_COMP_SUM_C_FLG,23.0,23.3,20.9,24.3,1,Confirmed,FLG,FLG,-1%,-2%,-1%,-2%,0%,27%,-1%,27%,KEEP
INTR_20B14_COMP_CNT,23.1,23.2,19.8,25.0,1,Tentative,INTR,1,2%,0%,-3%,1%,1%,1%,-1%,3%,DROP
UT15_OFFER_153QH_COMP_CNT_60DAYS,22.9,23.2,20.0,25.2,1,Tentative,OFFER,1,1%,-3%,2%,2%,0%,-1%,-3%,3%,DROP
APP_MGMT_ON_PRM_20JDQ_WON_DTL_REVN_COMP_SUM_C,23.3,23.2,21.0,25.4,1,Tentative,PIPE COMP,1,-3%,-3%,-5%,12%,2%,-1%,-3%,12%,DROP
BLOCKCHAIN_156UX_LEAD_COMP_SUM_C_FLG,23.1,23.2,21.6,24.3,1,Confirmed,FLG,FLG,0%,4%,-2%,2%,0%,-1%,-2%,4%,DROP
PAG_DNMM_COMP_CNT_60DAYS,23.4,23.2,21.2,26.2,1,Tentative,WEB,4,1%,-1%,-1%,2%,1%,0%,-2%,2%,KEEP
PUB_CLD_INF_20D0C_LEAD_COMP_SUM_C,23.1,23.1,22.2,24.0,1,Tentative,PIPE COMP,3,7%,-3%,-5%,2%,1%,-1%,-5%,7%,KEEP
ALL_OTHER_UT20_15MFT_LEAD_COMP_SUM_C_FLG,23.2,23.1,20.6,26.6,1,Confirmed,FLG,FLG,0%,-1%,1%,1%,-1%,-1%,-2%,2%,DROP
IBM_GBL_IOT_DSCR_APAC,23.1,23.0,21.2,24.3,1,Tentative,GEO,CAT,-3%,-5%,3%,10%,-3%,-3%,-7%,10%,KEEP
TLNT_ASSESSMENT_20B1Q_LEAD_COMP_SUM_C_FLG,23.1,23.0,22.0,24.8,1,Confirmed,FLG,FLG,-1%,11%,-3%,-2%,0%,2%,-1%,11%,KEEP
INDUSTRY_NULL,23.0,23.0,21.8,24.0,1,Tentative,INDUSTRY,CAT,-5%,-2%,2%,2%,5%,0%,0%,5%,DROP
OI_DIGITAL_BRAND_SALES_WON_DTL_REVN_COMP_SUM_C,22.9,22.9,20.0,24.2,1,Tentative,PIPE COMP,3,-1%,-2%,-1%,5%,1%,-1%,-3%,5%,DROP
GARS_20H03_LEAD_COMP_SUM_C_FLG,23.1,22.8,20.9,25.8,1,Confirmed,FLG,FLG,-2%,-3%,2%,2%,6%,-1%,-3%,6%,DROP
BJ_UT20_TRY_20A0K_COMP_CNT_1YR,23.0,22.8,21.0,25.5,1,Tentative,BJ,0,1%,-3%,2%,0%,0%,1%,-3%,3%,DROP
INTR_20B2L_COMP_CNT,22.9,22.7,19.6,27.3,1,Tentative,INTR,1,2%,0%,-2%,1%,1%,0%,-1%,2%,DROP
NEW_CONTACT_FLG,22.6,22.7,20.9,25.5,1,Confirmed,FLG,FLG,5%,3%,-3%,-2%,-3%,0%,-1%,5%,KEEP
OO_BP_WON_LEAD_COMP_SUM_C,22.3,22.7,19.6,24.4,1,Tentative,PIPE COMP,3,-1%,-3%,5%,1%,3%,-1%,-5%,5%,DROP
WAT_PAYER_20B1S_LEAD_COMP_SUM_C_FLG,22.6,22.7,20.0,26.8,1,Confirmed,FLG,FLG,0%,1%,-2%,0%,0%,14%,-2%,14%,KEEP
INTR_20A0K_COMP_CNT,22.5,22.6,21.2,23.4,1,Tentative,INTR,0,1%,-1%,-1%,1%,2%,0%,-2%,2%,DROP
