FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
Z_OPS_PERF_20C06_COMP_YIELD_C,7.0,6.8,6.0,8.2,1,Tentative,PIPE COMP,4,0%,-1%,2%,1%,0%,-1%,-2%,2%,DROP
DATA_AI_PLTF_20A11_COMP_YIELD_C,7.0,6.8,6.1,8.6,1,Tentative,PIPE COMP,2,2%,-2%,-2%,2%,1%,-1%,-3%,3%,DROP
BJ_UT10_LRN_WH_COMP_CNT_1YR,6.6,6.8,4.7,7.5,1,Tentative,BJ,0,-1%,-2%,-1%,1%,2%,6%,-1%,6%,KEEP
MULTICLOUD_MGMT_20GKU_COMP_YIELD_C,6.4,6.6,5.1,7.1,1,Tentative,PIPE COMP,3,-1%,-1%,-2%,4%,0%,-1%,-1%,4%,DROP
UT_LVL_20_CD_INTENT_NEW_SEC_THREAT,6.6,6.6,4.7,8.9,1,Tentative,LAST TOUCH UT,CAT,-2%,0%,-1%,0%,-1%,0%,4%,4%,DROP
OI_DIGITAL_COVERAGE_SALES_LEAD_INDIV_SUM_I_FLG,6.7,6.5,5.9,7.9,1,Confirmed,FLG,FLG,1%,-1%,1%,-1%,-1%,-1%,-1%,1%,DROP
BJ_UT15_BUY_15PHW_COMP_CNT_1YR,6.3,6.3,4.7,7.8,1,Tentative,BJ,0,-3%,-3%,5%,2%,1%,-1%,-3%,5%,DROP
INTR_GBS_COMP_CNT,6.2,6.3,3.8,7.6,1,Tentative,INTR,0,1%,-2%,-1%,3%,1%,0%,-2%,3%,DROP
INTR_10CGAP_INDIV_CNT,6.1,6.0,4.9,8.3,1,Tentative,INTR,0,1%,1%,-2%,-1%,1%,0%,1%,2%,DROP
PARENT_ASSET_BUYERS_JOURNEY_DISCOVER,5.6,5.8,4.3,6.8,1,Tentative,PARENT_ASSET_BUYERS_JOURNEY,CAT,0%,0%,-1%,1%,0%,1%,1%,1%,DROP
ALL_OTHER_UT20_15SCT_COMP_YIELD_C,5.7,5.8,4.4,6.9,1,Tentative,PIPE COMP,1,0%,-1%,-1%,1%,1%,0%,0%,1%,DROP
BJ_UT20_LRN_20C0H_COMP_CNT_1YR,5.7,5.8,4.4,6.8,1,Tentative,BJ,0,-2%,-3%,3%,1%,3%,0%,-2%,3%,DROP
ENTR_APP_SAP_20JII_COMP_YIELD_C,5.4,5.7,4.1,6.5,1,Tentative,PIPE COMP,2,-3%,-2%,-4%,10%,1%,-1%,-3%,10%,DROP
"EMP_CNT_SEG_[50K,INF)",5.4,5.6,4.3,6.6,1,Tentative,EMP_CNT_SEG,1,1%,0%,-1%,1%,-1%,0%,0%,1%,DROP
UT_LVL_20_CD_INTENT_NEW_ASSET_MGMT,5.6,5.5,4.0,7.1,1,Tentative,LAST TOUCH UT,CAT,-1%,7%,-2%,0%,0%,0%,-1%,7%,KEEP
OI_DIGITAL_BRAND_SALES_INDIV_YIELD_I,5.5,5.3,3.6,7.6,0.9,Tentative,PIPE INDIV,4,-1%,-1%,-2%,0%,-1%,-1%,6%,6%,DROP
IBM_GBL_IMT_DSCR_IT_NORD_FR,4.7,4.9,2.4,5.7,0.9,Tentative,GEO,CAT,-2%,-1%,1%,4%,0%,-2%,-3%,4%,DROP
UT_LVL_20_CD_INTENT_NEW_CLOUD_PLTF,5.1,4.8,4.1,6.5,0.9,Tentative,LAST TOUCH UT,CAT,0%,0%,0%,0%,0%,1%,-1%,1%,DROP
UT_LVL_10_CD_INTENT_NEW_10M00,4.7,4.6,3.5,6.3,0.8,Tentative,LAST TOUCH UT,CAT,-1%,1%,0%,0%,0%,1%,0%,1%,DROP
COLLAB_15CLS_COMP_YIELD_C,4.5,4.4,3.6,6.1,1,Tentative,PIPE COMP,2,0%,1%,-1%,2%,0%,0%,-1%,2%,DROP
OO_BP_INDIV_YIELD_I,3.7,4.2,1.4,4.9,0.7,Tentative,PIPE INDIV,4,0%,0%,2%,-2%,0%,-1%,-1%,2%,DROP
IBM_GBL_IMT_DSCR_DACH_EEUR_BENELUX,3.9,4.0,2.7,4.7,0.5,Tentative,GEO,CAT,-1%,-3%,3%,3%,1%,-2%,-5%,5%,DROP
INTR_15STS_COMP_CNT,4.2,3.9,2.7,6.2,0.9,Tentative,INTR,0,2%,1%,-2%,-1%,2%,2%,0%,2%,DROP
COMP_INST_FLG_HP,3.8,3.6,2.2,4.8,0.8,Tentative,COMP INST,0,-1%,1%,-3%,1%,1%,1%,1%,3%,DROP
UT_LVL_30_CD_INTENT_NEW_MAXIMO,3.5,3.4,2.0,5.1,0.4,Tentative,LAST TOUCH UT,CAT,-1%,7%,-1%,-1%,0%,0%,0%,7%,KEEP
COG_INFRST_PRV_CLD_20CCM_COMP_YIELD_C,2.9,3.0,1.4,4.7,0.6,Tentative,PIPE COMP,2,-1%,-2%,4%,0%,1%,0%,-2%,4%,DROP
ADV_FRAUD_PRTCT_20B13_COMP_YIELD_C,2.6,2.5,1.3,4.1,0.3,Tentative,PIPE COMP,1,-1%,-2%,-1%,1%,0%,-1%,3%,3%,DROP
OI_BRAND_SALES_LEAD_INDIV_SUM_I,2.5,2.4,1.7,3.5,0.1,Tentative,PIPE INDIV,4,-1%,-2%,-1%,4%,-1%,-1%,-1%,4%,DROP
